make,model,season,mean_price_make_model_season
Acura,CL,Fruehling,1637.5
Acura,CL,Sommer,1458.8235294117646
Acura,CL,Winter,2093.8596491228072
Acura,ILX,Fruehling,19136.363636363636
Acura,ILX,Sommer,18281.81818181818
Acura,ILX,Winter,19056.666666666668
Acura,Integra,Fruehling,1333.3333333333333
Acura,Integra,Sommer,791.6666666666666
Acura,Integra,Winter,1187.037037037037
Acura,Legend,Fruehling,537.5
Acura,Legend,Sommer,300.0
Acura,Legend,Winter,666.6666666666666
Acura,MDX,Fruehling,14298.058252427185
Acura,MDX,Sommer,17057.772020725388
Acura,MDX,Winter,15592.861205915813
Acura,RDX,Fruehling,17900.0
Acura,RDX,Sommer,17965.573770491803
Acura,RDX,Winter,18593.31683168317
Acura,RL,Fruehling,5842.307692307692
Acura,RL,Sommer,3985.714285714286
Acura,RL,Winter,5020.220588235294
Acura,RLX,Fruehling,32500.0
Acura,RLX,Sommer,24425.0
Acura,RLX,Winter,31565.0
Acura,RSX,Fruehling,5967.5
Acura,RSX,Sommer,4210.0
Acura,RSX,Winter,4258.0
Acura,TL,Fruehling,10141.143911439114
Acura,TL,Sommer,10380.786026200873
Acura,TL,Winter,11034.070247933885
Acura,TLX,Sommer,26200.0
Acura,TSX,Fruehling,12623.660714285714
Acura,TSX,Sommer,11689.903846153846
Acura,TSX,Winter,14179.741379310344
Acura,TSX Sport Wagon,Fruehling,21750.0
Acura,TSX Sport Wagon,Sommer,17907.14285714286
Acura,TSX Sport Wagon,Winter,18535.0
Acura,ZDX,Fruehling,26816.666666666668
Acura,ZDX,Sommer,24690.0
Acura,ZDX,Winter,26714.285714285714
Acura,mdx,Fruehling,23000.0
Aston Martin,DB9,Fruehling,51000.0
Aston Martin,DB9,Winter,51200.0
Aston Martin,Rapide,Winter,98750.0
Aston Martin,V8 Vantage,Fruehling,47250.0
Aston Martin,V8 Vantage,Sommer,55714.28571428572
Aston Martin,V8 Vantage,Winter,49000.0
Audi,A3,Fruehling,15990.322580645161
Audi,A3,Sommer,15783.783783783783
Audi,A3,Winter,15297.03947368421
Audi,A4,Fruehling,12011.893203883496
Audi,A4,Sommer,13848.684210526315
Audi,A4,Winter,11917.9067077872
Audi,A5,Fruehling,23977.380952380954
Audi,A5,Sommer,25516.417910447763
Audi,A5,Winter,24889.432989690722
Audi,A6,Fruehling,14625.438596491229
Audi,A6,Sommer,21498.046875
Audi,A6,Winter,16897.584269662922
Audi,A7,Fruehling,41852.94117647059
Audi,A7,Sommer,42777.77777777778
Audi,A7,Winter,42374.137931034486
Audi,A8,Fruehling,27051.315789473683
Audi,A8,Sommer,34385.10638297872
Audi,A8,Winter,25713.39285714286
Audi,Q3,Sommer,30400.0
Audi,Q5,Fruehling,27492.753623188404
Audi,Q5,Sommer,27448.71794871795
Audi,Q5,Winter,26830.58035714286
Audi,Q7,Fruehling,24395.070422535213
Audi,Q7,Sommer,30932.317073170732
Audi,Q7,Winter,25889.42731277533
Audi,R8,Fruehling,103625.0
Audi,R8,Sommer,89975.0
Audi,R8,Winter,90184.21052631579
Audi,RS 4,Sommer,27600.0
Audi,RS 4,Winter,23000.0
Audi,RS 5,Fruehling,53000.0
Audi,RS 5,Sommer,57500.0
Audi,RS 5,Winter,58464.28571428572
Audi,RS 6,Fruehling,14750.0
Audi,RS 6,Sommer,13866.666666666666
Audi,RS 6,Winter,11700.0
Audi,RS 7,Sommer,101600.0
Audi,RS 7,Winter,102600.0
Audi,S4,Fruehling,26340.384615384617
Audi,S4,Sommer,24701.5625
Audi,S4,Winter,20971.36752136752
Audi,S5,Fruehling,29888.235294117647
Audi,S5,Sommer,32006.451612903227
Audi,S5,Winter,33675.97402597403
Audi,S6,Fruehling,54600.0
Audi,S6,Sommer,30250.0
Audi,S6,Winter,18230.76923076923
Audi,S7,Sommer,67233.33333333333
Audi,S7,Winter,68387.5
Audi,S8,Fruehling,69500.0
Audi,S8,Sommer,84100.0
Audi,S8,Winter,38350.0
Audi,SQ5,Fruehling,50000.0
Audi,SQ5,Sommer,46900.0
Audi,SQ5,Winter,47500.0
